value,datetime,datetime_utc,tz_time,geo_id,geo_name
27439.0,2018-09-02T11:50:00.000+02:00,2018-09-02T09:50:00Z,2018-09-02T09:50:00.000Z,8741,Península
27568.0,2018-09-02T12:00:00.000+02:00,2018-09-02T10:00:00Z,2018-09-02T10:00:00.000Z,8741,Península
27701.0,2018-09-02T12:10:00.000+02:00,2018-09-02T10:10:00Z,2018-09-02T10:10:00.000Z,8741,Península
27813.0,2018-09-02T12:20:00.000+02:00,2018-09-02T10:20:00Z,2018-09-02T10:20:00.000Z,8741,Península
27819.0,2018-09-02T12:30:00.000+02:00,2018-09-02T10:30:00Z,2018-09-02T10:30:00.000Z,8741,Península
28108.0,2018-09-02T12:40:00.000+02:00,2018-09-02T10:40:00Z,2018-09-02T10:40:00.000Z,8741,Península
28321.0,2018-09-02T12:50:00.000+02:00,2018-09-02T10:50:00Z,2018-09-02T10:50:00.000Z,8741,Península
28640.0,2018-09-02T13:00:00.000+02:00,2018-09-02T11:00:00Z,2018-09-02T11:00:00.000Z,8741,Península
28617.0,2018-09-02T13:10:00.000+02:00,2018-09-02T11:10:00Z,2018-09-02T11:10:00.000Z,8741,Península
28835.0,2018-09-02T13:20:00.000+02:00,2018-09-02T11:20:00Z,2018-09-02T11:20:00.000Z,8741,Península
29224.0,2018-09-02T13:30:00.000+02:00,2018-09-02T11:30:00Z,2018-09-02T11:30:00.000Z,8741,Península
29432.0,2018-09-02T13:40:00.000+02:00,2018-09-02T11:40:00Z,2018-09-02T11:40:00.000Z,8741,Península
29473.0,2018-09-02T13:50:00.000+02:00,2018-09-02T11:50:00Z,2018-09-02T11:50:00.000Z,8741,Península
29437.0,2018-09-02T14:00:00.000+02:00,2018-09-02T12:00:00Z,2018-09-02T12:00:00.000Z,8741,Península
29682.0,2018-09-02T14:10:00.000+02:00,2018-09-02T12:10:00Z,2018-09-02T12:10:00.000Z,8741,Península
29356.0,2018-09-02T14:20:00.000+02:00,2018-09-02T12:20:00Z,2018-09-02T12:20:00.000Z,8741,Península
29694.0,2018-09-02T14:30:00.000+02:00,2018-09-02T12:30:00Z,2018-09-02T12:30:00.000Z,8741,Península
29591.0,2018-09-02T14:40:00.000+02:00,2018-09-02T12:40:00Z,2018-09-02T12:40:00.000Z,8741,Península
29371.0,2018-09-02T14:50:00.000+02:00,2018-09-02T12:50:00Z,2018-09-02T12:50:00.000Z,8741,Península
29450.0,2018-09-02T15:00:00.000+02:00,2018-09-02T13:00:00Z,2018-09-02T13:00:00.000Z,8741,Península
29361.0,2018-09-02T15:10:00.000+02:00,2018-09-02T13:10:00Z,2018-09-02T13:10:00.000Z,8741,Península
29251.0,2018-09-02T15:20:00.000+02:00,2018-09-02T13:20:00Z,2018-09-02T13:20:00.000Z,8741,Península
29129.0,2018-09-02T15:30:00.000+02:00,2018-09-02T13:30:00Z,2018-09-02T13:30:00.000Z,8741,Península
29116.0,2018-09-02T15:40:00.000+02:00,2018-09-02T13:40:00Z,2018-09-02T13:40:00.000Z,8741,Península
29000.0,2018-09-02T15:50:00.000+02:00,2018-09-02T13:50:00Z,2018-09-02T13:50:00.000Z,8741,Península
28826.0,2018-09-02T16:00:00.000+02:00,2018-09-02T14:00:00Z,2018-09-02T14:00:00.000Z,8741,Península
28839.0,2018-09-02T16:10:00.000+02:00,2018-09-02T14:10:00Z,2018-09-02T14:10:00.000Z,8741,Península
28890.0,2018-09-02T16:20:00.000+02:00,2018-09-02T14:20:00Z,2018-09-02T14:20:00.000Z,8741,Península
28737.0,2018-09-02T16:30:00.000+02:00,2018-09-02T14:30:00Z,2018-09-02T14:30:00.000Z,8741,Península
28824.0,2018-09-02T16:40:00.000+02:00,2018-09-02T14:40:00Z,2018-09-02T14:40:00.000Z,8741,Península
28282.0,2018-09-02T16:50:00.000+02:00,2018-09-02T14:50:00Z,2018-09-02T14:50:00.000Z,8741,Península
28537.0,2018-09-02T17:00:00.000+02:00,2018-09-02T15:00:00Z,2018-09-02T15:00:00.000Z,8741,Península
28531.0,2018-09-02T17:10:00.000+02:00,2018-09-02T15:10:00Z,2018-09-02T15:10:00.000Z,8741,Península
28727.0,2018-09-02T17:20:00.000+02:00,2018-09-02T15:20:00Z,2018-09-02T15:20:00.000Z,8741,Península
28462.0,2018-09-02T17:30:00.000+02:00,2018-09-02T15:30:00Z,2018-09-02T15:30:00.000Z,8741,Península
28275.0,2018-09-02T17:40:00.000+02:00,2018-09-02T15:40:00Z,2018-09-02T15:40:00.000Z,8741,Península
28241.0,2018-09-02T17:50:00.000+02:00,2018-09-02T15:50:00Z,2018-09-02T15:50:00.000Z,8741,Península
28356.0,2018-09-02T18:00:00.000+02:00,2018-09-02T16:00:00Z,2018-09-02T16:00:00.000Z,8741,Península
28606.0,2018-09-02T18:10:00.000+02:00,2018-09-02T16:10:00Z,2018-09-02T16:10:00.000Z,8741,Península
28119.0,2018-09-02T18:20:00.000+02:00,2018-09-02T16:20:00Z,2018-09-02T16:20:00.000Z,8741,Península
28335.0,2018-09-02T18:30:00.000+02:00,2018-09-02T16:30:00Z,2018-09-02T16:30:00.000Z,8741,Península
28459.0,2018-09-02T18:40:00.000+02:00,2018-09-02T16:40:00Z,2018-09-02T16:40:00.000Z,8741,Península
28474.0,2018-09-02T18:50:00.000+02:00,2018-09-02T16:50:00Z,2018-09-02T16:50:00.000Z,8741,Península
28350.0,2018-09-02T19:00:00.000+02:00,2018-09-02T17:00:00Z,2018-09-02T17:00:00.000Z,8741,Península
28265.0,2018-09-02T19:10:00.000+02:00,2018-09-02T17:10:00Z,2018-09-02T17:10:00.000Z,8741,Península
28414.0,2018-09-02T19:20:00.000+02:00,2018-09-02T17:20:00Z,2018-09-02T17:20:00.000Z,8741,Península
28450.0,2018-09-02T19:30:00.000+02:00,2018-09-02T17:30:00Z,2018-09-02T17:30:00.000Z,8741,Península
28330.0,2018-09-02T19:40:00.000+02:00,2018-09-02T17:40:00Z,2018-09-02T17:40:00.000Z,8741,Península
28379.0,2018-09-02T19:50:00.000+02:00,2018-09-02T17:50:00Z,2018-09-02T17:50:00.000Z,8741,Península
28304.0,2018-09-02T20:00:00.000+02:00,2018-09-02T18:00:00Z,2018-09-02T18:00:00.000Z,8741,Península
28538.0,2018-09-02T20:10:00.000+02:00,2018-09-02T18:10:00Z,2018-09-02T18:10:00.000Z,8741,Península
28631.0,2018-09-02T20:20:00.000+02:00,2018-09-02T18:20:00Z,2018-09-02T18:20:00.000Z,8741,Península
28748.0,2018-09-02T20:30:00.000+02:00,2018-09-02T18:30:00Z,2018-09-02T18:30:00.000Z,8741,Península
29172.0,2018-09-02T20:40:00.000+02:00,2018-09-02T18:40:00Z,2018-09-02T18:40:00.000Z,8741,Península
29838.0,2018-09-02T20:50:00.000+02:00,2018-09-02T18:50:00Z,2018-09-02T18:50:00.000Z,8741,Península
30449.0,2018-09-02T21:00:00.000+02:00,2018-09-02T19:00:00Z,2018-09-02T19:00:00.000Z,8741,Península
30902.0,2018-09-02T21:10:00.000+02:00,2018-09-02T19:10:00Z,2018-09-02T19:10:00.000Z,8741,Península
31048.0,2018-09-02T21:20:00.000+02:00,2018-09-02T19:20:00Z,2018-09-02T19:20:00.000Z,8741,Península
31032.0,2018-09-02T21:30:00.000+02:00,2018-09-02T19:30:00Z,2018-09-02T19:30:00.000Z,8741,Península
30966.0,2018-09-02T21:40:00.000+02:00,2018-09-02T19:40:00Z,2018-09-02T19:40:00.000Z,8741,Península
30820.0,2018-09-02T21:50:00.000+02:00,2018-09-02T19:50:00Z,2018-09-02T19:50:00.000Z,8741,Península
30907.0,2018-09-02T22:00:00.000+02:00,2018-09-02T20:00:00Z,2018-09-02T20:00:00.000Z,8741,Península
30488.0,2018-09-02T22:10:00.000+02:00,2018-09-02T20:10:00Z,2018-09-02T20:10:00.000Z,8741,Península
30252.0,2018-09-02T22:20:00.000+02:00,2018-09-02T20:20:00Z,2018-09-02T20:20:00.000Z,8741,Península
30097.0,2018-09-02T22:30:00.000+02:00,2018-09-02T20:30:00Z,2018-09-02T20:30:00.000Z,8741,Península
